Date,Open,High,Low,Close,Adj Close,Volume
2023-03-20,1.077424,1.092900,1.071892,1.078283,1.078283,0
2023-03-27,1.077819,1.092586,1.074807,1.087193,1.087193,0
2023-04-03,1.080334,1.099747,1.078935,1.099747,1.099747,0
2023-04-10,1.091358,1.110494,1.083248,1.110494,1.110494,0
2023-04-17,1.098660,1.109878,1.091072,1.109878,1.109878,0
2023-04-24,1.099227,1.112842,1.096563,1.112842,1.112842,0
2023-05-01,1.101091,1.121202,1.094355,1.121202,1.121202,0
2023-05-08,1.101868,1.105339,1.085564,1.094092,1.094092,0
2023-05-15,1.085270,1.090358,1.076102,1.082485,1.082485,0
2023-05-22,1.082275,1.083072,1.070205,1.073307,1.073307,0
2023-05-29,1.072306,1.077935,1.065167,1.072731,1.072731,0
2023-06-05,1.069862,1.078749,1.066735,1.076658,1.076658,0
2023-06-12,1.075095,1.097100,1.073434,1.096251,1.096251,0
2023-06-19,1.094212,1.101115,1.084505,1.093374,1.093374,0
2023-06-26,1.090667,1.097610,1.083647,1.091822,1.091822,0
2023-07-03,1.090750,1.097574,1.083435,1.097574,1.097574,0
2023-07-10,1.096972,1.124859,1.094451,1.124859,1.124859,0
2023-07-17,1.122776,1.127574,1.110963,1.113462,1.113462,0
2023-07-24,1.112533,1.115200,1.094703,1.103266,1.103266,0
2023-07-31,1.102426,1.104545,1.091358,1.102657,1.102657,0
2023-08-07,1.100267,1.105840,1.093099,1.096491,1.096491,0
2023-08-14,1.094439,1.096035,1.084646,1.088969,1.088969,0
2023-08-21,1.087559,1.093200,1.076670,1.079564,1.079564,0
2023-08-28,1.079739,1.094547,1.078353,1.079680,1.079680,0
2023-09-04,1.077586,1.080906,1.068764,1.071352,1.071352,0
2023-09-11,1.071811,1.076542,1.063468,1.067464,1.067464,0
2023-09-18,1.066826,1.072697,1.061526,1.067350,1.067350,0
2023-09-25,1.064849,1.065542,1.049186,1.058761,1.058761,0
2023-10-02,1.056524,1.060220,1.044987,1.060220,1.060220,0
2023-10-09,1.056747,1.063909,1.049615,1.051635,1.051635,0
2023-10-16,1.052155,1.060333,1.051635,1.060333,1.060333,0
2023-10-23,1.058997,1.069050,1.052632,1.057977,1.057977,0
2023-10-30,1.056245,1.073883,1.052288,1.073883,1.073883,0
2023-11-06,1.073215,1.075700,1.065769,1.071582,1.071582,0
2023-11-13,1.069016,1.091822,1.066553,1.091822,1.091822,0
2023-11-20,1.090703,1.096732,1.085458,1.095050,1.095050,0
2023-11-27,1.094044,1.101686,0.919118,1.089443,1.089443,0
2023-12-04,1.088815,1.088732,1.073146,1.077470,1.077470,0
2023-12-11,1.076577,1.100594,1.074322,1.090869,1.090869,0
2023-12-18,1.089526,1.104057,1.089455,1.102657,1.102657,0
2023-12-25,1.102657,1.113945,1.099989,1.105583,1.105583,0
2024-01-01,1.105583,1.105339,1.087985,1.095650,1.095650,0
2024-01-08,1.094224,1.099143,1.091262,1.096371,1.096371,0
2024-01-15,1.094571,1.095890,1.084540,1.091584,1.091584,0
2024-01-22,1.089230,1.093147,1.081338,1.086484,1.086484,0
2024-01-29,1.084352,1.089800,1.078028,1.080847,1.080847,0
2024-02-05,1.078004,1.079447,1.072455,1.078632,1.078632,0
2024-02-12,1.079820,1.080544,1.069553,1.077935,1.077935,0
2024-02-19,1.078446,1.088625,1.076252,1.083541,1.083541,0
2024-02-26,1.081958,1.086614,1.079867,1.085187,1.085187,0
2024-03-04,1.084269,1.097803,1.083858,1.094571,1.094571,0
2024-03-11,1.094296,1.095470,1.087382,1.090037,1.090037,0
2024-03-18,1.088258,1.094451,1.080906,1.086236,1.086236,0
2024-03-22,1.086366,1.087075,1.080497,1.081432,1.081432,0
